@relation cluter

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric

@data
-0.147816,0.046691,-0.190177,0.021402,-0.070732,0.037751,0.152387,-0.33544,0.204233,0.048771,-0.003905,-0.151604,-0.205995,0.390564,0.251888,0.174541,0.12808,-0.124478,0.211944,0.067029,0.203012,-0.096187,0.237664,-0.00751,-0.005286,-0.206467,0.243871,-0.323804,0.010751,-0.19408,-0.094477,0.159067,-0.008661,-0.386278,-0.166914,0.343779,-0.207527,-0.089979,-0.205589,0.033195,0.267282,0.088152,-0.134913,-0.03595,0.106946,0.130337,0.08642,0.008473,-0.168972,-0.181423
-0.141674,0.067531,0.135798,0.116625,0.049653,0.127367,0.119111,-0.290182,0.010769,-0.22676,0.042306,0.162324,-0.096882,0.250618,-0.082681,-0.130247,0.045487,-0.191435,-0.061063,-0.267175,0.157694,0.251199,-0.011443,0.011041,-0.07782,-0.255499,0.080611,0.245468,-0.338043,0.09423,0.098103,0.360695,0.041173,-0.300901,-0.088822,0.18161,-0.01199,-0.069934,-0.207428,-0.077318,0.299481,0.224023,0.175487,0.175575,0.043064,-0.068278,0.24388,-0.062374,-0.120863,0.014645
0.060582,-0.222831,0.093873,-0.078884,0.032252,0.182153,-0.097716,-0.026215,0.059444,-0.028486,0.176353,0.113304,-0.070705,0.022406,-0.111264,-0.015408,-0.107138,-0.01195,-0.023209,-0.059963,-0.215227,0.05961,0.110799,0.00513,0.042832,-0.003762,-0.141408,0.006127,0.008018,-0.046682,-0.214933,0.16603,0.090258,0.109466,0.034261,0.026906,0.075442,0.107632,0.085807,-0.113237,0.115125,0.099638,-0.062256,-0.032565,-0.019628,0.096914,0.091218,0.026569,0.051235,-0.097555
-0.367804,-0.313386,0.021227,-0.047428,0.100723,0.076965,-0.224129,0.444553,-0.223124,-0.062096,0.021074,0.017164,-0.079267,-0.012246,0.057837,0.011191,-0.122797,-0.099165,-0.091243,0.109478,-0.368704,0.20046,-0.071541,0.01416,-0.122408,0.051821,0.039338,-0.152975,-0.198068,0.047092,0.071193,0.149509,0.352834,-0.153186,-0.097591,-0.155105,0.131345,0.059703,0.020082,0.021782,-0.070968,0.313877,0.054229,-0.048613,0.073828,0.108923,-0.060841,-0.131726,0.169819,0.070721
-0.161381,-0.125584,0.077916,0.085655,0.205685,0.035961,-0.118998,-0.062011,-0.104009,0.215857,-0.004623,0.037313,-0.096098,0.176464,0.073887,-0.029871,-0.014156,-0.113755,0.256085,0.079105,0.0847,0.011845,-0.147334,-0.207084,-0.031484,0.014939,-0.151444,0.112294,-0.218772,-0.178837,0.112268,-0.073825,0.051433,-0.018683,0.138772,-0.096045,0.04412,-0.147596,-0.019015,0.159932,-0.055859,0.055227,-0.025111,0.167803,-0.076317,-0.040001,-0.092332,-0.086243,0.132459,-0.033652
0.105079,0.018031,-0.035743,0.015492,0.119186,0.001267,0.060727,0.17569,-0.214308,0.026592,-0.025169,0.038134,-0.223239,-0.019227,-0.052998,-0.240971,-0.030856,-0.089382,-0.03871,-0.269716,0.19202,0.197772,-0.062649,0.05247,-0.053798,0.041467,0.067285,0.042198,-0.007397,0.250354,-0.0335,0.184912,0.121376,-0.051555,0.053763,0.148445,-0.103526,-0.074178,-0.178059,0.076622,0.158566,0.051221,0.056148,0.177053,0.132398,-0.204148,0.146415,-0.096401,-0.033949,-0.100649
0.099342,0.249894,0.083867,-0.243473,0.352106,0.358037,0.411489,0.078895,-0.037123,-0.107116,0.128909,0.066787,-0.333887,0.086795,0.194803,-0.12528,-0.176672,-0.052387,-0.056222,-0.112384,0.156746,0.061869,-0.250109,0.205145,-0.116161,0.088423,0.402103,0.123601,0.010348,0.093942,0.114986,0.282785,-0.193926,0.294273,-0.106872,0.026505,0.207817,0.328625,0.073084,0.266175,0.09013,-0.101247,0.154469,0.262979,-0.007292,-0.091271,0.301062,-0.149669,0.11522,-0.150213
0.172574,0.035652,0.124132,-0.059782,0.223983,0.301584,0.388479,0.110546,-0.01404,0.104231,-0.013662,0.140892,-0.049248,0.064173,0.097783,-0.18812,-0.099271,-0.112883,-0.187364,-0.268791,0.174924,0.095782,-0.284155,0.067875,-0.113676,0.105473,0.160205,0.170865,0.05542,-0.05912,0.079462,0.476588,-0.179485,0.392218,-0.181344,0.087731,0.265652,0.204236,-0.062004,0.172719,0.043283,-0.308661,0.219145,0.146776,0.005768,-0.086923,0.428998,0.01418,0.076511,-0.167116
0.167148,0.235736,0.150119,-0.029811,0.026765,-0.100713,0.116162,0.168289,0.004755,-0.2175,0.046776,-0.022925,-0.035634,-0.083586,-0.083429,0.154636,-0.136649,0.135062,0.051324,-0.071997,0.003691,-0.016183,0.066467,-0.127738,-0.00748,-0.007866,0.068417,0.122089,-0.15566,0.233216,-0.049697,-0.134765,0.014233,-0.0061,0.045382,-0.055329,-0.042873,-0.057936,0.081986,0.010399,0.011588,0.11315,0.06467,-0.096132,-0.127652,0.092912,-0.189877,-0.224261,0.053104,0.109317
-0.009969,-0.130639,-0.140362,-0.030831,0.011231,0.050626,0.025379,0.220135,0.086013,-0.066067,0.079279,-0.07328,0.181962,0.370699,-0.043078,-0.022526,-0.000464,0.098362,-0.09925,-0.126631,0.079728,-0.112441,-0.126064,0.092246,0.015174,0.171272,-0.055748,-0.104047,-0.072174,-0.144232,-0.044721,0.072678,-0.039452,-0.034718,-0.210778,-0.082937,0.01511,0.092637,-0.19712,0.184694,0.019968,-0.189165,-0.137717,0.255335,0.278411,-0.237592,-0.123127,-0.20882,-0.034683,-0.085857
-0.419912,-0.073616,-0.258528,0.169343,0.31721,-0.1417,0.023345,-0.040846,-0.047703,0.237135,-0.27055,-0.039897,-0.158667,0.462939,-0.039837,0.062399,-0.312264,-0.201482,-0.082088,-0.081127,-0.15355,0.042639,0.019121,-0.076193,-0.122629,-0.021335,0.25507,-0.258284,0.04323,0.225984,-0.308306,0.122285,-0.175367,0.134875,-0.225059,0.317935,-0.041567,-0.013345,-0.148216,-0.105931,-0.101113,-0.055215,0.079289,-0.120576,0.169752,-0.055647,-0.292154,0.049832,-0.10947,-0.175887
-0.3809,-0.01402,-0.056818,0.18677,0.150581,-0.060293,0.140182,-0.041367,0.099717,-0.046351,-0.187389,-0.144668,-0.098179,0.097944,-0.115769,0.00599,-0.039936,-0.091286,-0.098039,-0.228426,0.053584,-0.314179,0.071341,-0.058972,-0.264287,-0.003864,-0.044744,-0.012513,-0.2592,0.131942,-0.378957,-0.013989,-0.073276,-0.024394,-0.13014,-0.034563,-0.054092,0.004607,-0.054611,0.076938,-0.104651,-0.124753,-0.083397,-0.105463,0.059903,0.033026,0.000297,-0.148373,0.149055,-0.295825
-0.321056,-0.032556,-0.092889,0.073513,0.137838,0.002709,0.356134,-0.270006,-0.039493,0.012624,-0.159181,-0.027231,-0.025579,-0.090782,-0.103362,0.202138,0.028496,-0.381999,0.191242,-0.130846,-0.048257,-0.15289,-0.052399,0.004144,-0.044966,0.103766,0.005802,-0.189264,0.153457,0.019632,-0.083902,-0.120016,0.19945,-0.101165,-0.439672,-0.080332,0.039999,0.040166,0.132882,0.182467,-0.078221,0.02249,-0.035374,-0.190509,0.092413,-0.033496,0.011875,-0.014778,0.1382,-0.05016
0.094711,-0.101799,0.048792,-0.264211,-0.073623,0.193386,-0.005002,-0.017864,-0.213015,-0.027132,-0.124728,0.104214,-0.069811,-0.074268,0.050053,0.252939,0.099183,-0.149143,0.126668,-0.058627,-0.261593,0.078965,-0.182818,-0.061161,0.225766,0.111334,-0.051029,0.107254,0.239925,-0.063149,0.224387,-0.070917,0.114597,0.148212,0.013549,0.000255,0.095177,0.142915,0.106733,-0.239241,-0.018517,0.022854,0.128537,-0.021956,-0.178105,-0.080656,-0.045311,-0.072087,0.062102,0.027801
-0.021008,-0.181921,0.068849,-0.215901,0.096599,0.118399,-0.010679,-0.167667,-0.310819,-0.090844,-0.166731,0.130942,0.031132,0.171764,-0.011242,0.043335,0.130387,-0.06352,-0.095794,-0.055485,-0.090817,0.133272,-0.148538,-0.030205,0.246318,0.02378,-0.068455,-0.054474,0.067179,-0.077568,0.064826,-0.124059,-0.12229,0.122543,0.153244,0.138535,0.072368,-0.002384,-0.125186,-0.321199,-0.223382,-0.038161,0.156935,-0.083026,0.015177,0.001668,-0.065085,0.102098,-0.111124,-0.088349
-0.12168,0.050631,0.125926,-0.028304,0.05343,0.155186,0.161475,-0.243089,-0.186114,0.022145,-0.425945,0.065483,0.067943,0.251688,0.252669,0.206995,-0.061868,-0.386249,0.013767,-0.097629,0.134264,0.257831,-0.320544,0.094331,0.142411,0.088582,0.032379,-0.099815,0.141245,-0.174765,0.052205,0.139419,0.051288,0.068561,-0.129504,0.072089,0.050181,0.201356,0.007505,-0.261666,-0.117985,0.044592,-0.036246,-0.100878,-0.14328,-0.007355,-0.008116,-0.03671,0.119027,0.07309
0.325091,-0.027813,-0.30334,-0.107614,-0.136389,0.162969,-0.257096,-0.156346,-0.052008,0.073679,0.226032,-0.094738,-0.1229,0.046757,0.272181,-0.07127,-0.08997,-0.054769,-0.440321,-0.022128,0.371993,0.211084,-0.190335,0.187551,0.256266,-0.169692,0.268369,-0.093205,-0.020773,-0.271617,0.008931,-0.10338,0.267909,-0.200085,0.191972,-0.13377,-0.408046,-0.191477,-0.460921,0.310096,0.173064,-0.052687,-0.158861,-0.130567,0.192423,-0.29087,0.219769,-0.010374,0.088969,0.024579
0.166728,-0.058714,-0.078713,0.103553,0.038389,0.119957,0.103307,0.103418,0.095157,-0.064416,0.057797,0.054766,0.062519,-0.125784,-0.007232,-0.008172,0.010647,0.128385,0.099816,0.054976,0.011617,0.032309,0.114981,0.073498,-0.12052,-0.113561,0.224322,-0.041953,0.035123,0.178996,-0.061452,0.163556,0.104045,-0.111882,-0.213174,-0.074295,0.038717,-0.012922,0.115708,0.025662,0.105336,0.103769,-0.004226,0.087632,0.047673,0.06682,0.026186,0.006994,-0.047128,-0.124832
-0.21663,0.034235,0.090021,0.325498,0.240723,0.070203,0.104454,-0.001048,-0.056133,0.028485,-0.069225,0.171334,0.040987,0.156904,-0.17139,0.198567,-0.218039,-0.210792,-0.108558,-0.141847,0.048256,0.064309,0.059015,-0.019952,-0.043422,0.215924,-0.329906,0.161341,0.00729,-0.070516,-0.031069,0.367543,-0.207439,0.161295,-0.142011,-0.147087,0.314602,0.273359,0.179233,-0.009236,-0.241041,-0.130504,0.027647,0.004203,0.035323,0.046209,0.118437,-0.095768,-0.194407,-0.070911
