@relation cluter

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric

@data
-0.098931,-0.043543,-0.252324,-0.029204,-0.044706,-0.001545,0.06828,-0.14073,0.041406,0.047334,-0.121911,0.145747,0.112324,0.049345,-0.032641,-0.004044,-0.228685,-0.122921,-0.190712,0.026141,0.167502,0.012808,-0.24487,-0.162677,0.024854,0.079799,-0.215927,0.034814,-0.203845,0.076244,-0.062388,-0.021278,-0.076155,0.106625,0.051854,-0.030271,-0.14164,0.265611,-0.094878,-0.119926,-0.214248,-0.026883,-0.080836,-0.140274,0.148289,0.238032,0.073892,-0.075655,-0.014674,0.056409
-0.108914,-0.110881,0.070209,-0.099088,-0.110048,-0.014132,-0.067676,0.187631,0.227267,-0.122884,-0.030292,-0.023284,0.013535,0.369483,0.158333,0.027084,0.120477,-0.007486,-0.046019,-0.326997,0.102601,-0.01134,-0.068215,0.148332,-0.006351,0.428619,0.02494,0.019859,-0.085086,-0.102599,-0.069472,0.126118,0.17079,0.147528,-0.134282,-0.140435,-0.234081,0.075198,-0.173892,0.200203,0.069428,-0.104885,-0.239473,0.366221,0.145179,-0.219771,-0.194704,-0.232671,0.018649,-0.055855
-0.247597,0.027113,0.163412,-0.055099,0.025445,-0.234694,0.166779,-0.074348,-0.046477,-0.122648,0.048076,-0.023045,-0.028342,0.065237,-0.117759,-0.0611,-0.140487,-0.14514,-0.060407,-0.141499,0.112282,0.03455,0.136184,-0.180255,-0.186709,0.238054,0.035097,0.078631,-0.042331,0.145559,-0.169108,0.054032,-0.117025,-0.096094,0.002001,-0.051002,-0.01052,-0.002196,0.027948,0.204358,-0.042372,-0.045489,0.123952,-0.057593,0.046288,0.183064,0.097779,-0.037744,0.058207,-0.070872
-0.04867,0.076105,0.116644,0.10235,0.107757,0.112369,0.06548,-0.269584,0.001741,0.012734,-0.097146,0.032824,0.027983,0.23069,-0.017168,-0.144144,-0.021113,0.095321,-0.040662,-0.172543,-0.145152,-0.060722,0.022174,-0.099398,-0.042956,-0.05543,-0.028895,0.17771,-0.112601,0.025201,0.050581,-0.090406,-0.128298,0.005545,-0.170548,0.083594,0.00942,-0.070554,0.051304,0.145426,-0.028133,0.09764,0.201645,0.070215,0.017188,0.021676,-0.02047,-0.062351,-0.18121,-0.085421
-0.268397,0.012868,0.182551,-0.124271,0.073224,-0.091753,0.224281,-0.145138,-0.13099,-0.150991,-0.077344,0.028865,0.010718,0.085598,-0.062911,-0.095675,-0.083019,-0.252511,-0.217286,-0.132059,0.146538,0.110991,0.20179,-0.103373,-0.069842,0.338858,0.026691,0.028374,-0.020415,0.080276,-0.168652,-0.057996,-0.169358,-0.174322,-0.101366,0.017976,0.032187,-0.036434,-0.093557,0.065814,-0.152925,0.078443,0.130714,-0.300195,0.00347,0.146338,0.149433,-0.04495,0.156578,-0.120612
-0.186742,0.149346,0.293082,0.316771,0.011041,-0.050956,0.172967,-0.05219,-0.199531,0.108785,-0.359678,-0.145803,0.012878,0.177689,-0.262468,-0.043966,0.005753,-0.310389,-0.012087,-0.20168,-0.094372,0.008059,0.339694,-0.000537,0.092386,0.223921,0.029285,-0.298059,0.10014,0.147592,-0.127165,-0.150884,0.100069,-0.225313,-0.282126,0.169603,-0.221726,0.130537,0.18371,0.049127,-0.021498,-0.06154,0.209888,0.012883,-0.060666,0.14791,-0.050387,0.013732,-0.160161,-0.147409
-0.356737,-0.108637,-0.016762,0.054888,-0.042462,-0.098881,0.074864,-0.030326,-0.055756,0.128668,-0.173659,-0.153469,-0.094723,0.006903,0.10396,0.466394,0.15256,-0.108029,0.196967,-0.222888,0.277645,-0.119482,0.075676,0.016836,0.079969,0.18579,0.056496,-0.246941,0.062135,0.083058,-0.077034,-0.016857,0.133177,-0.213409,-0.293061,0.016528,0.034951,0.096456,-0.149187,-0.128375,-0.013237,-0.120345,-0.024229,-0.028214,-0.060301,-0.100162,0.075231,-0.261484,0.052723,-0.023317
-0.476096,-0.010422,-0.132261,0.048837,0.053841,-0.102028,0.164755,-0.139647,-0.034994,-0.085887,-0.245279,-0.068991,-0.009127,0.078029,-0.080445,0.162815,-0.053791,-0.139727,0.064974,-0.106202,0.290543,-0.040886,-0.005051,-0.116164,-0.012497,0.046886,0.004929,-0.101141,0.019301,0.20959,-0.124152,-0.160477,-0.035601,-0.20988,-0.137257,0.028758,0.183082,0.018239,-0.118453,-0.064354,-0.305225,-0.048877,-0.023461,-0.183196,0.216945,0.280026,-0.027128,-0.190715,0.193417,-0.008947
-0.321056,-0.032556,-0.092889,0.073513,0.137838,0.002709,0.356134,-0.270006,-0.039493,0.012624,-0.159181,-0.027231,-0.025579,-0.090782,-0.103362,0.202138,0.028496,-0.381999,0.191242,-0.130846,-0.048257,-0.15289,-0.052399,0.004144,-0.044966,0.103766,0.005802,-0.189264,0.153457,0.019632,-0.083902,-0.120016,0.19945,-0.101165,-0.439672,-0.080332,0.039999,0.040166,0.132882,0.182467,-0.078221,0.02249,-0.035374,-0.190509,0.092413,-0.033496,0.011875,-0.014778,0.1382,-0.05016
-0.116723,-0.402234,0.066746,0.01813,0.098675,0.059756,-0.139998,-0.171387,-0.193335,0.053962,-0.073249,0.305435,0.241071,0.209444,0.072869,0.172426,0.206203,-0.049256,-0.026603,-0.011396,0.089963,0.09368,-0.659353,0.009185,0.18063,0.037923,0.013197,-0.11035,0.396489,-0.075538,0.14473,0.128811,-0.168355,0.012692,0.073417,0.303258,-0.218918,0.216328,-0.160431,-0.058399,-0.019259,0.025643,0.276839,0.043892,0.060848,-0.353727,0.096848,-0.030283,-0.15362,-0.180475
-0.066096,-0.125508,-0.04631,-0.100423,0.081625,0.124627,-0.196772,-0.191458,-0.038331,0.011711,-0.214862,-0.006184,0.212631,0.19995,0.093069,0.311792,0.102563,-0.053173,0.075859,0.089444,0.032699,-0.041367,-0.34047,0.022189,0.170119,-0.082587,-0.072445,-0.049279,0.070199,0.03833,0.143404,0.094942,-0.184579,-0.007295,0.106087,0.099196,-0.14965,-0.008391,-0.1254,-0.34206,-0.243061,-0.019248,0.006512,0.010732,0.016228,-0.09751,-0.009609,0.03739,-0.032982,0.157833
0.12505,0.095378,0.040284,0.247984,-0.001058,0.108093,0.017765,-0.133309,-0.297667,0.00624,-0.237238,-0.040764,0.189674,0.093721,-0.037036,0.009558,0.060841,-0.312434,-0.113371,-0.02093,0.242059,-0.088963,0.151803,0.065729,0.157895,0.306153,-0.106909,-0.230596,0.166128,-0.186433,0.068544,0.113611,-0.030879,-0.098889,0.058636,-0.084987,-0.137425,0.022878,0.067787,-0.052531,-0.433006,0.057087,-0.002122,-0.204032,-0.144661,0.129301,0.325519,-0.008659,-0.049824,0.33695
0.082027,-0.052246,-0.041275,0.251193,-0.226302,0.016241,-0.143689,0.018835,-0.16491,0.096264,-0.094826,-0.212732,0.031278,0.189057,0.054952,0.077837,-0.020194,-0.179029,-0.051021,-0.111165,0.404628,0.090693,0.172622,0.138248,0.164184,0.350498,0.014766,-0.319402,0.035687,-0.261259,0.137892,0.109084,0.110297,-0.063708,0.130566,0.0205,-0.164662,0.122577,-0.142915,-0.079191,-0.214636,0.028133,-0.090532,-0.177422,-0.089106,0.252275,0.317304,0.050443,0.026081,0.214407
-0.167063,0.133895,-0.066441,0.04194,-0.043402,0.264957,0.160187,0.082719,-0.318406,0.105079,-0.157832,-0.075938,-0.018525,0.061175,-0.093973,0.054059,0.023231,-0.217843,-0.171578,-0.130888,0.057711,0.173888,0.078071,0.128005,-0.068102,0.254693,-0.193706,0.053672,-0.099388,0.125918,0.05694,0.060336,0.168994,0.10942,-0.072187,-0.240878,0.227478,0.188475,-0.026571,0.077063,-0.335254,-0.003633,0.136708,-0.017528,-0.030961,0.115919,0.104364,-0.22116,0.000144,-0.081347
-0.054517,0.069023,-0.145381,0.100663,-0.080976,-0.094651,0.139479,-0.292417,0.012143,-0.241192,-0.269799,0.004849,-0.007345,0.314785,0.036604,0.12468,0.02494,-0.125501,-0.253432,-0.077965,0.155023,0.172768,0.057099,0.012674,0.249222,0.029477,0.261857,0.149885,0.08123,-0.062653,-0.007523,0.099094,-0.152625,0.060463,-0.327652,-0.042176,-0.085469,0.047243,-0.218588,0.051144,-0.045287,0.282639,0.14164,-0.038259,0.151898,-0.210292,-0.223458,0.045889,0.260952,0.192071
-0.280976,-0.223935,0.139315,0.122441,0.177801,-0.140791,-0.050285,-0.208963,-0.102869,-0.083919,-0.164055,0.165999,0.027825,0.3154,0.047463,0.01481,0.138964,-0.126665,-0.219811,-0.247986,-0.062732,0.20779,-0.106857,0.136583,0.074205,0.049755,0.228263,0.081826,0.145832,0.038772,-0.00857,0.102083,-0.053622,-0.0448,-0.171433,0.054391,-0.094544,-0.043276,-0.361214,-0.009209,-0.026439,0.111674,0.237144,-0.052974,0.205747,-0.12501,-0.448316,0.008457,0.170289,-0.016914
-0.06435,0.068237,0.087281,-0.025041,0.000181,0.074691,0.076503,-0.196505,-0.106249,-0.001745,-0.2898,0.023605,-0.043949,0.405779,-0.066341,0.034851,0.097403,-0.192025,-0.276585,-0.000096,0.111502,0.181655,-0.313259,0.03329,0.081032,-0.022549,0.241504,0.094243,0.340145,-0.091852,0.043167,0.18344,-0.442597,-0.018433,-0.32641,0.171786,-0.02892,-0.05174,-0.357363,-0.016573,-0.089621,0.074688,0.288359,0.060594,0.115092,-0.215244,-0.085811,0.028203,0.10777,0.081146
-0.178266,0.070292,-0.021277,0.111576,-0.023567,0.098519,-0.019947,0.009672,0.087453,-0.220262,-0.148222,0.042666,0.018376,0.155527,-0.028032,-0.162667,-0.062101,-0.129238,-0.175129,-0.071592,0.138752,0.046556,-0.017851,-0.18544,-0.077834,0.181079,-0.083469,0.207181,-0.090809,0.058603,-0.334891,0.12109,-0.167944,-0.070483,0.018537,-0.091346,0.037718,-0.037618,-0.256402,-0.050505,-0.053998,0.092374,0.102694,-0.281679,-0.013492,-0.048052,0.120356,-0.109072,0.287513,-0.025269
-0.057942,0.068063,0.104888,-0.095331,-0.096918,0.087096,-0.115183,0.002793,0.094702,-0.182229,0.039358,-0.094479,0.039244,-0.118211,-0.025748,-0.051558,-0.109197,-0.082283,0.008147,-0.066427,0.090139,0.211856,0.011868,-0.120654,-0.15453,0.058187,-0.217298,0.250355,-0.10137,-0.127513,-0.011744,0.11614,-0.003851,-0.143165,0.14009,-0.037256,-0.009339,0.04193,0.109664,-0.098475,0.036561,0.091113,0.12511,-0.07412,-0.141583,-0.034925,0.081311,-0.082656,0.049522,0.150939
0.043846,0.094297,0.070281,0.047716,0.052919,0.256432,0.027156,-0.152159,0.026267,-0.216285,-0.194474,-0.006189,0.069127,0.077795,-0.037899,0.085562,0.005983,-0.088968,0.043487,0.080052,0.082112,0.231613,0.08385,0.01577,-0.088878,-0.030976,-0.146148,0.170823,-0.136347,0.101701,-0.202313,0.023492,-0.012464,-0.063813,0.037248,0.085672,0.118885,-0.018782,0.033645,-0.036971,0.060872,0.119664,0.141133,0.094033,0.046156,0.030291,0.018121,0.060598,-0.005336,0.140332
-0.056375,-0.051231,-0.050692,0.051223,-0.063295,0.088325,-0.08989,-0.10635,-0.006429,-0.005836,-0.068771,0.042049,-0.064245,-0.080353,0.031443,-0.061495,-0.122946,-0.068037,0.020818,-0.017621,0.082931,0.070177,0.135087,-0.01196,-0.045139,0.274144,0.008733,-0.00822,-0.102438,-0.117366,-0.035936,0.065969,0.132007,-0.077685,0.04574,0.065852,-0.089972,0.044478,-0.009307,-0.038605,0.048322,0.020831,-0.062041,0.050371,-0.178711,-0.176484,0.064377,-0.174761,0.021048,-0.051584
-0.240878,0.04054,-0.148075,0.178097,0.064075,0.177553,-0.22489,-0.148072,-0.064804,0.025981,-0.071578,0.190495,0.074126,0.205178,-0.02374,0.206699,0.025988,-0.140762,-0.083195,0.083814,0.278973,-0.075144,-0.232437,0.144978,-0.004213,-0.029626,-0.101627,-0.005629,-0.223541,0.197931,0.047039,0.067117,-0.019781,-0.116248,-0.079508,0.269383,-0.243679,-0.003634,-0.313257,-0.149256,-0.043466,-0.01709,0.170292,-0.04209,0.086853,0.21709,0.10226,0.053816,0.098066,0.230835
-0.146472,0.089699,-0.181409,0.110498,-0.106897,-0.034132,0.026531,-0.191671,0.219344,-0.128325,-0.008144,0.070741,-0.067512,-0.014404,-0.147703,0.115351,-0.265711,-0.276694,-0.32057,-0.140452,0.077569,0.021186,-0.159601,-0.017311,0.027718,-0.20431,-0.060649,0.013859,-0.248461,-0.039822,-0.200097,0.044319,-0.098085,0.108936,0.074675,-0.028935,-0.010836,0.025026,-0.188965,-0.049176,0.010376,0.051637,-0.09602,-0.337408,0.03006,-0.114412,0.050779,-0.020816,0.084521,-0.02778
-0.103803,-0.028684,0.289617,-0.123828,0.184856,0.158604,-0.145958,-0.022087,-0.147145,-0.123474,-0.089953,-0.014192,0.010973,0.096763,-0.145728,0.171556,-0.106895,-0.138557,-0.124407,-0.063652,-0.063212,0.327711,-0.10486,0.125798,-0.172723,0.139417,-0.058341,0.074959,-0.146472,0.169149,-0.15257,0.017458,0.052877,-0.043295,0.089251,0.103235,0.087495,-0.043991,-0.163034,-0.078209,0.028127,0.314934,0.432603,-0.061797,0.093686,-0.008128,0.09,0.038916,0.286023,-0.045733
0.076532,0.094322,-0.057675,-0.099708,0.102669,0.121534,0.273203,-0.061733,-0.026203,0.032607,0.227,0.149563,-0.065356,0.045675,-0.025896,-0.078659,0.074631,-0.02736,-0.129001,0.06428,-0.102582,0.038241,0.133648,0.194453,-0.161516,0.112249,0.029801,0.058614,0.082266,0.069021,-0.002433,0.065566,-0.080637,-0.078276,-0.019306,0.041756,0.170561,-0.014775,0.122982,0.149126,0.180749,0.101388,0.27648,-0.02051,-0.170078,-0.258664,-0.002776,0.029129,0.011463,-0.024576
-0.081451,0.135195,0.110335,-0.066896,-0.03152,0.069441,0.138479,0.015919,-0.14403,0.036417,0.01184,0.087996,0.002192,-0.002487,0.024601,-0.077211,0.040151,0.026028,-0.077457,-0.039579,-0.071378,0.056959,0.143541,-0.046654,-0.105755,0.165837,-0.052472,-0.002203,-0.007637,-0.079015,-0.082428,0.141999,-0.088494,-0.106291,0.053701,0.034709,0.053126,-0.002629,0.220568,0.195696,0.103357,-0.041709,0.191754,-0.06681,-0.262431,-0.275662,-0.101157,0.014765,0.026239,0.017141
-0.03649,0.10748,-0.156702,0.004062,0.026787,0.077224,-0.153385,0.059771,-0.162655,0.336514,-0.026786,0.277656,-0.167474,0.144085,0.125466,-0.052059,-0.096738,-0.076016,0.221137,0.19077,0.084088,0.096499,-0.009729,-0.076377,-0.130486,0.082768,0.143046,0.022524,0.056405,-0.081486,0.210578,-0.214939,-0.027746,-0.102219,-0.170743,0.195184,-0.131486,-0.116331,0.192837,-0.054103,-0.091976,0.070575,0.056689,0.021601,-0.006075,-0.101167,-0.187288,0.079952,0.19194,-0.230518
0.053595,0.233007,-0.018508,0.036876,0.182075,-0.102855,0.029953,0.036663,-0.162908,-0.045881,-0.156296,0.073577,-0.250496,-0.095428,0.039043,0.166568,-0.080218,0.095072,-0.101801,-0.156445,-0.164881,0.294762,0.336771,-0.049587,-0.034818,0.088092,0.100394,0.145233,-0.296295,0.236811,0.015031,-0.025068,-0.186628,-0.039209,-0.243748,0.101091,-0.03709,0.186055,0.502749,-0.088809,-0.060977,0.045524,0.078854,-0.089575,-0.012402,0.222615,-0.14929,0.1287,-0.107645,-0.266621
-0.191788,0.012836,0.019898,0.002463,0.305441,-0.099848,0.025442,0.182544,-0.256508,0.047693,0.106397,0.10997,-0.066703,-0.035552,0.12043,0.231839,-0.075904,-0.032877,-0.250509,-0.032228,-0.231946,0.34379,0.296482,-0.164041,-0.183237,0.08886,0.128546,0.231312,-0.013159,0.126982,-0.102515,-0.120379,-0.012335,-0.022574,-0.021621,0.044492,0.033406,0.108976,0.199718,0.024739,-0.099755,-0.021098,-0.023567,-0.122843,0.034324,0.026251,0.002915,-0.05043,-0.023949,-0.062131
-0.022842,0.181835,-0.054194,-0.024916,0.20201,0.085158,-0.011504,0.077113,0.026104,-0.096728,-0.171708,0.135032,0.014873,0.068295,0.131725,-0.105996,-0.097165,0.065867,0.015463,0.279701,0.061013,0.064014,0.1446,0.123368,-0.166063,0.026866,0.153412,-0.046404,0.072272,-0.0375,0.155736,-0.009296,0.057957,0.022394,-0.207111,0.127441,-0.094596,-0.128358,0.153386,-0.051788,-0.147001,-0.075475,-0.125952,0.062633,-0.143793,-0.019334,-0.057841,0.059947,0.164264,-0.135107
0.012574,0.002006,0.062246,-0.070468,-0.000155,0.097152,-0.015117,-0.040721,-0.047454,-0.086213,0.044345,0.035589,0.038928,0.115456,0.094499,0.043031,-0.098657,-0.031474,0.05774,-0.006592,0.05415,0.095086,0.078121,-0.041019,0.027596,-0.150501,0.087424,-0.064559,0.039423,-0.044914,0.008218,0.084347,0.015877,-0.007164,-0.221014,0.034642,0.090578,0.106951,0.022181,-0.052125,-0.081428,-0.029981,-0.067753,0.13786,-0.068056,-0.08756,-0.102438,-0.062421,0.038211,-0.08883
0.096573,-0.075282,-0.013478,0.088032,-0.13612,0.061637,-0.068104,-0.25298,0.077278,-0.072169,0.03282,0.076359,-0.043367,0.060467,-0.173548,-0.1217,-0.28838,-0.187289,-0.070116,-0.127794,0.2623,-0.08104,-0.017641,-0.0133,-0.001012,-0.030739,-0.0392,0.068724,0.040407,-0.071143,0.034601,-0.007827,-0.153781,0.012693,0.056111,-0.019401,0.122818,0.036656,-0.178154,-0.060933,-0.107788,0.073245,0.076035,0.023311,-0.123116,-0.210273,0.149896,0.100965,-0.098581,0.021644
-0.123473,-0.08698,0.144496,0.057301,-0.137167,-0.138132,-0.062826,0.073719,0.002238,0.063593,0.162758,-0.127585,0.068238,-0.18926,-0.04546,0.163745,0.007705,-0.138023,-0.051935,-0.233697,0.209389,-0.028876,-0.153379,0.027364,0.017028,-0.081111,-0.206538,0.084104,-0.120655,0.005062,-0.162161,-0.025859,0.085794,-0.004514,-0.044604,-0.08096,-0.137757,0.045442,0.056297,-0.00197,-0.103946,0.212147,0.088506,-0.009617,-0.137081,-0.089634,0.234314,-0.107936,0.154844,0.033522
-0.131089,-0.020218,0.121895,-0.03579,-0.170068,0.040399,-0.232482,0.072588,-0.128691,0.032667,-0.03906,-0.132294,0.080975,-0.308753,0.216572,0.209839,-0.037973,-0.373262,0.071301,-0.026638,0.447682,0.114817,-0.305254,-0.036057,-0.079694,0.117051,-0.049144,0.119309,-0.13691,0.169053,0.097653,0.198234,0.022028,-0.080637,0.136224,-0.038975,-0.210064,0.156238,-0.159915,-0.018074,-0.051519,0.042461,0.11375,0.058138,-0.286314,-0.172311,0.192489,-0.077688,0.241029,0.321294
