@relation cluter

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric

@data
-0.141674,0.067531,0.135798,0.116625,0.049653,0.127367,0.119111,-0.290182,0.010769,-0.22676,0.042306,0.162324,-0.096882,0.250618,-0.082681,-0.130247,0.045487,-0.191435,-0.061063,-0.267175,0.157694,0.251199,-0.011443,0.011041,-0.07782,-0.255499,0.080611,0.245468,-0.338043,0.09423,0.098103,0.360695,0.041173,-0.300901,-0.088822,0.18161,-0.01199,-0.069934,-0.207428,-0.077318,0.299481,0.224023,0.175487,0.175575,0.043064,-0.068278,0.24388,-0.062374,-0.120863,0.014645
-0.171178,-0.042548,0.061077,0.039591,-0.117871,-0.10871,0.024281,0.00366,0.051426,0.063474,0.216431,-0.126424,-0.069394,-0.079223,-0.050444,-0.071383,0.107623,-0.132625,0.181466,-0.189892,0.286827,0.004274,0.006296,-0.008609,-0.15454,-0.15592,-0.176024,-0.045328,-0.199482,0.03792,0.085408,0.467337,0.17122,-0.438414,0.084969,-0.067303,0.065958,-0.05253,0.016349,0.159115,0.111089,0.068824,0.02918,0.165953,-0.243255,0.139514,0.466306,-0.163153,-0.057207,0.209208
-0.425977,-0.31516,0.077284,-0.09205,0.048264,0.108192,-0.261807,0.313989,-0.239491,0.132398,0.108429,-0.115379,-0.115276,0.074323,0.000873,0.258323,-0.093503,-0.070681,-0.034395,0.096522,-0.320013,0.115252,-0.088113,0.144445,-0.096482,-0.072134,-0.006951,-0.2499,-0.104042,0.0102,0.076722,0.033725,0.451696,-0.234761,-0.053639,-0.051938,0.157321,-0.000257,0.043115,-0.103504,0.030282,0.296941,0.092061,-0.031525,0.125196,0.104936,-0.07576,-0.150963,0.196066,-0.004452
-0.118403,0.178084,0.075093,-0.011452,-0.16135,-0.009802,0.138291,0.000035,0.003079,0.013582,-0.109617,-0.007379,-0.103616,-0.233062,-0.015721,0.088139,0.150624,-0.040405,-0.043503,-0.180143,-0.111838,0.254556,0.035976,-0.045733,-0.083287,0.062167,0.130276,0.259372,-0.185086,0.087148,0.032592,0.041205,0.066842,-0.07714,-0.006154,-0.095403,-0.084045,-0.010073,0.113698,-0.016966,-0.089028,0.015431,0.062907,-0.108492,-0.094498,-0.029867,-0.124104,0.013978,-0.030703,0.081178
-0.117683,0.030286,0.007217,0.060836,0.12316,-0.013153,0.060544,0.101376,-0.176184,-0.093946,-0.063602,0.058248,-0.065096,-0.16508,-0.020986,0.120801,0.09437,-0.007639,-0.053376,-0.159299,-0.098315,0.243997,0.142331,-0.158877,-0.069162,0.110891,0.07371,0.309339,-0.319337,0.084488,0.129644,0.087928,0.109176,-0.012536,-0.012223,-0.109859,0.146539,0.140901,0.097808,-0.036907,-0.136788,0.057695,0.186641,-0.066004,-0.091483,-0.026425,0.016388,-0.054804,-0.093404,-0.091583
-0.019009,0.260374,-0.048951,0.007469,0.078945,0.099979,0.421669,0.003135,-0.033275,-0.12872,-0.158162,0.087148,-0.045606,-0.294434,0.027841,-0.255446,0.061792,-0.016641,-0.196819,-0.105517,0.006351,0.209994,-0.277213,0.207539,-0.059022,0.007942,0.240089,0.097897,-0.041045,-0.082792,0.00563,0.451918,0.051507,0.191101,0.018243,0.060095,0.04898,-0.066263,-0.103731,0.14169,-0.133471,-0.222778,0.134155,0.059809,-0.049161,-0.058942,0.310198,0.258986,0.139081,-0.04336
0.172574,0.035652,0.124132,-0.059782,0.223983,0.301584,0.388479,0.110546,-0.01404,0.104231,-0.013662,0.140892,-0.049248,0.064173,0.097783,-0.18812,-0.099271,-0.112883,-0.187364,-0.268791,0.174924,0.095782,-0.284155,0.067875,-0.113676,0.105473,0.160205,0.170865,0.05542,-0.05912,0.079462,0.476588,-0.179485,0.392218,-0.181344,0.087731,0.265652,0.204236,-0.062004,0.172719,0.043283,-0.308661,0.219145,0.146776,0.005768,-0.086923,0.428998,0.01418,0.076511,-0.167116
-0.083627,0.187317,0.115083,-0.030089,-0.09502,-0.041272,0.123988,0.175907,0.046931,0.034098,-0.012981,-0.156013,0.047759,0.255799,0.118058,-0.179191,-0.023037,0.093668,-0.071708,-0.233646,0.193154,-0.025463,0.17729,0.187446,-0.127945,0.319164,0.134408,-0.15859,-0.012847,-0.12553,0.003687,0.033336,0.084137,0.124276,-0.22859,-0.094385,-0.185437,-0.022825,0.031598,0.230409,0.106891,-0.140815,-0.138749,0.275531,0.117936,-0.146839,-0.174902,-0.289547,-0.068908,-0.054976
-0.213923,0.021489,0.085016,0.115902,-0.034878,0.136667,0.172246,-0.247806,0.062957,-0.011615,-0.194485,0.008308,0.118612,0.2151,-0.080649,0.016217,0.088245,-0.1179,-0.091365,-0.205552,0.057823,-0.1765,-0.10647,0.126552,0.022609,0.126372,0.0764,-0.119261,0.169946,-0.060478,0.086955,0.171805,-0.126115,-0.077091,-0.349617,0.171142,-0.023594,0.088946,-0.091891,-0.016264,-0.166714,-0.136052,0.138979,0.187336,-0.016689,-0.241732,-0.075976,-0.074697,-0.177091,0.052636
-0.186742,0.149346,0.293082,0.316771,0.011041,-0.050956,0.172967,-0.05219,-0.199531,0.108785,-0.359678,-0.145803,0.012878,0.177689,-0.262468,-0.043966,0.005753,-0.310389,-0.012087,-0.20168,-0.094372,0.008059,0.339694,-0.000537,0.092386,0.223921,0.029285,-0.298059,0.10014,0.147592,-0.127165,-0.150884,0.100069,-0.225313,-0.282126,0.169603,-0.221726,0.130537,0.18371,0.049127,-0.021498,-0.06154,0.209888,0.012883,-0.060666,0.14791,-0.050387,0.013732,-0.160161,-0.147409
-0.356737,-0.108637,-0.016762,0.054888,-0.042462,-0.098881,0.074864,-0.030326,-0.055756,0.128668,-0.173659,-0.153469,-0.094723,0.006903,0.10396,0.466394,0.15256,-0.108029,0.196967,-0.222888,0.277645,-0.119482,0.075676,0.016836,0.079969,0.18579,0.056496,-0.246941,0.062135,0.083058,-0.077034,-0.016857,0.133177,-0.213409,-0.293061,0.016528,0.034951,0.096456,-0.149187,-0.128375,-0.013237,-0.120345,-0.024229,-0.028214,-0.060301,-0.100162,0.075231,-0.261484,0.052723,-0.023317
-0.502248,-0.126123,0.138824,0.089618,0.144221,-0.096672,-0.035665,0.084974,-0.443585,0.00707,0.020371,0.217893,-0.068231,0.233173,0.455879,0.21648,-0.042225,-0.162985,0.024289,-0.003474,-0.167319,0.244828,-0.429063,-0.022031,0.053663,0.04325,0.058126,-0.105755,0.262107,0.061853,0.090689,0.016979,-0.132507,0.09376,-0.0516,0.326147,-0.186643,0.175144,0.021446,-0.067685,0.129812,-0.078106,0.364286,0.105008,-0.065684,0.083571,-0.16114,-0.155049,-0.160739,0.006995
-0.018131,0.163997,0.221678,-0.026998,0.131214,-0.004275,-0.022247,0.038746,-0.189589,-0.032137,0.033713,0.142364,0.005895,0.027637,0.080626,0.12776,-0.030685,-0.00761,0.011112,-0.136177,-0.111799,0.260471,-0.260193,0.04348,0.089223,0.111041,0.045887,0.047283,0.166197,0.122306,0.084722,0.140333,-0.037417,0.152072,-0.120279,0.05039,-0.095356,0.204856,0.159765,0.00241,0.116455,0.08264,0.151265,0.179776,0.267445,-0.113577,-0.128855,-0.123582,-0.269132,0.024773
-0.021008,-0.181921,0.068849,-0.215901,0.096599,0.118399,-0.010679,-0.167667,-0.310819,-0.090844,-0.166731,0.130942,0.031132,0.171764,-0.011242,0.043335,0.130387,-0.06352,-0.095794,-0.055485,-0.090817,0.133272,-0.148538,-0.030205,0.246318,0.02378,-0.068455,-0.054474,0.067179,-0.077568,0.064826,-0.124059,-0.12229,0.122543,0.153244,0.138535,0.072368,-0.002384,-0.125186,-0.321199,-0.223382,-0.038161,0.156935,-0.083026,0.015177,0.001668,-0.065085,0.102098,-0.111124,-0.088349
-0.219786,-0.118475,0.088648,0.137934,0.095231,-0.002193,-0.272723,0.018845,-0.013259,0.185374,0.122529,0.192591,0.111821,0.063182,0.058214,0.147784,-0.033756,-0.172015,0.281192,-0.168065,-0.007828,0.178458,-0.171024,0.058793,0.066084,0.220129,-0.008457,-0.159301,0.149198,0.027723,0.073947,0.180025,0.021541,0.020161,0.172238,-0.000798,0.028946,0.025224,0.013711,-0.0231,0.108139,0.04175,0.130078,0.196532,-0.272353,0.135516,0.239784,-0.254639,-0.246631,0.245726
-0.063242,0.011195,0.234271,0.094098,0.197941,0.277968,0.194336,0.060996,-0.534761,0.149061,-0.150875,0.128641,-0.002813,0.151555,0.102381,0.176405,-0.001058,-0.168171,0.041783,-0.060214,-0.319483,0.347786,-0.052473,0.028487,-0.284456,0.162563,-0.05189,-0.039969,0.093805,0.032848,-0.171667,0.097376,0.080294,-0.105881,-0.191002,0.135835,0.190492,0.164167,0.064114,-0.053042,0.04463,0.213551,0.294629,0.001049,-0.01754,-0.097718,0.024542,-0.017871,0.042917,-0.008379
-0.21663,0.034235,0.090021,0.325498,0.240723,0.070203,0.104454,-0.001048,-0.056133,0.028485,-0.069225,0.171334,0.040987,0.156904,-0.17139,0.198567,-0.218039,-0.210792,-0.108558,-0.141847,0.048256,0.064309,0.059015,-0.019952,-0.043422,0.215924,-0.329906,0.161341,0.00729,-0.070516,-0.031069,0.367543,-0.207439,0.161295,-0.142011,-0.147087,0.314602,0.273359,0.179233,-0.009236,-0.241041,-0.130504,0.027647,0.004203,0.035323,0.046209,0.118437,-0.095768,-0.194407,-0.070911
-0.129694,-0.125281,0.0589,0.18147,0.295886,-0.01222,-0.048893,0.014597,-0.088677,0.08991,-0.139275,0.08749,0.103677,0.350842,0.004519,-0.038042,0.155366,-0.009648,-0.117634,-0.192088,-0.138764,0.150884,-0.054607,-0.042018,0.039282,-0.015716,0.211994,0.108864,0.147814,-0.011904,-0.043835,0.011659,-0.135399,-0.196973,-0.136019,0.093749,-0.172891,-0.254565,-0.313486,0.062483,-0.146157,0.105543,0.275234,0.026897,0.249118,-0.13522,-0.110075,0.06131,0.141699,0.081715
-0.363127,-0.032998,0.239506,0.009554,0.144679,0.088218,-0.047264,0.080929,-0.191403,0.067621,-0.188845,0.186222,0.140399,0.250751,-0.061963,0.186464,-0.010094,-0.074839,-0.237136,-0.165407,-0.203095,0.387202,-0.101716,0.070705,-0.124236,0.134791,0.155719,0.004737,0.099173,0.097395,0.07017,0.070816,-0.135659,-0.171174,-0.108794,0.092377,0.126668,-0.029593,-0.29217,-0.063914,-0.253101,0.259856,0.475467,-0.159964,0.208435,0.021853,-0.158573,-0.008339,0.166108,0.071584
-0.119504,0.035194,0.08272,-0.156888,0.009804,0.14938,-0.048351,-0.079939,0.010225,0.097585,-0.018744,0.021307,0.024292,0.187314,-0.054337,-0.136356,-0.064584,-0.207818,0.020788,-0.122105,0.161118,-0.043352,-0.061924,-0.079808,-0.050365,0.141094,-0.038339,0.060795,0.052581,-0.060642,-0.00864,0.030523,-0.025458,0.022505,-0.063904,0.009648,-0.107795,-0.102021,-0.0397,0.01149,0.007738,0.026177,-0.003789,0.049395,-0.025854,-0.13591,0.018997,-0.095173,0.03563,0.076716
-0.178266,0.070292,-0.021277,0.111576,-0.023567,0.098519,-0.019947,0.009672,0.087453,-0.220262,-0.148222,0.042666,0.018376,0.155527,-0.028032,-0.162667,-0.062101,-0.129238,-0.175129,-0.071592,0.138752,0.046556,-0.017851,-0.18544,-0.077834,0.181079,-0.083469,0.207181,-0.090809,0.058603,-0.334891,0.12109,-0.167944,-0.070483,0.018537,-0.091346,0.037718,-0.037618,-0.256402,-0.050505,-0.053998,0.092374,0.102694,-0.281679,-0.013492,-0.048052,0.120356,-0.109072,0.287513,-0.025269
