@relation cluter

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric

@data
-0.141674,0.067531,0.135798,0.116625,0.049653,0.127367,0.119111,-0.290182,0.010769,-0.22676,0.042306,0.162324,-0.096882,0.250618,-0.082681,-0.130247,0.045487,-0.191435,-0.061063,-0.267175,0.157694,0.251199,-0.011443,0.011041,-0.07782,-0.255499,0.080611,0.245468,-0.338043,0.09423,0.098103,0.360695,0.041173,-0.300901,-0.088822,0.18161,-0.01199,-0.069934,-0.207428,-0.077318,0.299481,0.224023,0.175487,0.175575,0.043064,-0.068278,0.24388,-0.062374,-0.120863,0.014645
0.237194,-0.037891,0.219843,-0.061268,-0.007964,0.020622,-0.191882,0.037473,-0.090145,-0.139686,-0.107586,0.09442,0.215667,0.078859,0.181708,0.001454,0.219059,0.002682,0.098304,-0.029988,0.158165,0.049468,0.025987,0.127951,0.331064,0.035466,-0.073662,-0.166231,0.199593,-0.128673,0.323141,0.070043,0.141036,-0.128924,-0.082518,-0.035826,-0.026429,-0.203118,0.114824,-0.022598,-0.083165,0.311138,0.036832,0.061807,-0.067255,-0.074301,0.233481,0.178696,-0.163953,0.343425
0.060582,-0.222831,0.093873,-0.078884,0.032252,0.182153,-0.097716,-0.026215,0.059444,-0.028486,0.176353,0.113304,-0.070705,0.022406,-0.111264,-0.015408,-0.107138,-0.01195,-0.023209,-0.059963,-0.215227,0.05961,0.110799,0.00513,0.042832,-0.003762,-0.141408,0.006127,0.008018,-0.046682,-0.214933,0.16603,0.090258,0.109466,0.034261,0.026906,0.075442,0.107632,0.085807,-0.113237,0.115125,0.099638,-0.062256,-0.032565,-0.019628,0.096914,0.091218,0.026569,0.051235,-0.097555
-0.068619,-0.2477,0.035819,-0.020483,0.356649,-0.073597,-0.165068,0.247291,-0.247762,0.090934,-0.16295,-0.218146,0.058355,0.059198,-0.056337,0.2184,0.067196,-0.165838,-0.036024,-0.08347,-0.110834,0.17586,0.077571,0.051272,0.183863,0.197053,-0.215472,0.027365,-0.275972,0.074821,-0.183967,-0.226297,0.262339,-0.414997,-0.046903,-0.088042,0.08514,0.101561,0.083892,0.263372,0.2246,0.230081,-0.121886,0.241547,0.078542,-0.115545,-0.140728,0.04378,0.054246,0.145003
-0.161381,-0.125584,0.077916,0.085655,0.205685,0.035961,-0.118998,-0.062011,-0.104009,0.215857,-0.004623,0.037313,-0.096098,0.176464,0.073887,-0.029871,-0.014156,-0.113755,0.256085,0.079105,0.0847,0.011845,-0.147334,-0.207084,-0.031484,0.014939,-0.151444,0.112294,-0.218772,-0.178837,0.112268,-0.073825,0.051433,-0.018683,0.138772,-0.096045,0.04412,-0.147596,-0.019015,0.159932,-0.055859,0.055227,-0.025111,0.167803,-0.076317,-0.040001,-0.092332,-0.086243,0.132459,-0.033652
-0.653666,-0.271269,0.136185,0.129976,0.264649,-0.37966,-0.18056,-0.045886,-0.277432,-0.279982,0.079504,-0.051913,-0.140119,0.00461,0.214656,0.051475,-0.03122,-0.185823,0.044445,-0.011446,-0.16908,0.131153,0.056806,-0.110015,-0.131639,0.029922,-0.22292,-0.012863,-0.256759,-0.167294,-0.090883,-0.161682,0.225276,0.038739,0.213325,0.009453,-0.056772,0.123831,0.039457,0.21943,0.044324,0.16378,0.138948,0.007836,-0.181087,-0.001805,0.017702,-0.030823,0.146429,-0.044062
-0.251901,-0.254987,0.058178,-0.015086,0.113765,0.080085,-0.049205,0.296437,-0.149209,0.049938,-0.056707,0.133586,-0.051216,0.027456,0.095654,-0.016439,-0.136285,-0.302494,0.09333,-0.174062,-0.090871,0.224368,-0.096307,0.078373,-0.081211,0.175101,0.287673,-0.168919,-0.017912,0.020371,-0.056461,0.289006,0.268897,-0.133477,-0.087184,0.126328,-0.046493,-0.029032,0.007458,-0.029592,0.06391,0.256249,0.194244,-0.0485,0.034821,-0.015611,-0.007413,-0.097225,0.060325,-0.049627
0.105079,0.018031,-0.035743,0.015492,0.119186,0.001267,0.060727,0.17569,-0.214308,0.026592,-0.025169,0.038134,-0.223239,-0.019227,-0.052998,-0.240971,-0.030856,-0.089382,-0.03871,-0.269716,0.19202,0.197772,-0.062649,0.05247,-0.053798,0.041467,0.067285,0.042198,-0.007397,0.250354,-0.0335,0.184912,0.121376,-0.051555,0.053763,0.148445,-0.103526,-0.074178,-0.178059,0.076622,0.158566,0.051221,0.056148,0.177053,0.132398,-0.204148,0.146415,-0.096401,-0.033949,-0.100649
0.003702,-0.090626,0.049113,-0.076011,0.117232,0.296444,0.065916,0.114684,0.02424,0.110823,0.043043,0.105454,0.074265,-0.007855,-0.018338,-0.047974,0.004631,-0.000391,0.093807,-0.140726,0.028972,0.110222,-0.06478,0.097882,-0.001171,0.092031,0.056564,-0.031629,0.190137,-0.029283,0.088657,0.41913,0.03639,-0.091819,-0.113612,0.101963,0.145542,0.113855,-0.0124,0.112641,0.083337,-0.04026,0.111697,0.081244,0.150137,-0.056612,0.148137,-0.063279,-0.098807,-0.137884
-0.019009,0.260374,-0.048951,0.007469,0.078945,0.099979,0.421669,0.003135,-0.033275,-0.12872,-0.158162,0.087148,-0.045606,-0.294434,0.027841,-0.255446,0.061792,-0.016641,-0.196819,-0.105517,0.006351,0.209994,-0.277213,0.207539,-0.059022,0.007942,0.240089,0.097897,-0.041045,-0.082792,0.00563,0.451918,0.051507,0.191101,0.018243,0.060095,0.04898,-0.066263,-0.103731,0.14169,-0.133471,-0.222778,0.134155,0.059809,-0.049161,-0.058942,0.310198,0.258986,0.139081,-0.04336
