@relation cluter

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric

@data
-0.147816,0.046691,-0.190177,0.021402,-0.070732,0.037751,0.152387,-0.33544,0.204233,0.048771,-0.003905,-0.151604,-0.205995,0.390564,0.251888,0.174541,0.12808,-0.124478,0.211944,0.067029,0.203012,-0.096187,0.237664,-0.00751,-0.005286,-0.206467,0.243871,-0.323804,0.010751,-0.19408,-0.094477,0.159067,-0.008661,-0.386278,-0.166914,0.343779,-0.207527,-0.089979,-0.205589,0.033195,0.267282,0.088152,-0.134913,-0.03595,0.106946,0.130337,0.08642,0.008473,-0.168972,-0.181423
0.084092,-0.097953,-0.135941,-0.129236,-0.029951,-0.113083,-0.057921,-0.085138,-0.069371,-0.234137,0.252204,0.005907,-0.15315,-0.374729,-0.157976,-0.052174,-0.146433,-0.14239,0.080273,-0.239746,0.229636,0.022343,0.08365,0.017963,0.183192,0.220125,-0.383047,-0.100167,-0.233504,-0.09185,-0.227558,-0.039829,0.526224,-0.258637,0.493116,-0.198117,0.149763,0.083244,-0.05236,-0.10272,-0.199026,0.051097,-0.165745,-0.306733,-0.087575,0.247613,0.25657,-0.01171,0.349204,-0.116219
-0.367804,-0.313386,0.021227,-0.047428,0.100723,0.076965,-0.224129,0.444553,-0.223124,-0.062096,0.021074,0.017164,-0.079267,-0.012246,0.057837,0.011191,-0.122797,-0.099165,-0.091243,0.109478,-0.368704,0.20046,-0.071541,0.01416,-0.122408,0.051821,0.039338,-0.152975,-0.198068,0.047092,0.071193,0.149509,0.352834,-0.153186,-0.097591,-0.155105,0.131345,0.059703,0.020082,0.021782,-0.070968,0.313877,0.054229,-0.048613,0.073828,0.108923,-0.060841,-0.131726,0.169819,0.070721
-0.161381,-0.125584,0.077916,0.085655,0.205685,0.035961,-0.118998,-0.062011,-0.104009,0.215857,-0.004623,0.037313,-0.096098,0.176464,0.073887,-0.029871,-0.014156,-0.113755,0.256085,0.079105,0.0847,0.011845,-0.147334,-0.207084,-0.031484,0.014939,-0.151444,0.112294,-0.218772,-0.178837,0.112268,-0.073825,0.051433,-0.018683,0.138772,-0.096045,0.04412,-0.147596,-0.019015,0.159932,-0.055859,0.055227,-0.025111,0.167803,-0.076317,-0.040001,-0.092332,-0.086243,0.132459,-0.033652
0.003702,-0.090626,0.049113,-0.076011,0.117232,0.296444,0.065916,0.114684,0.02424,0.110823,0.043043,0.105454,0.074265,-0.007855,-0.018338,-0.047974,0.004631,-0.000391,0.093807,-0.140726,0.028972,0.110222,-0.06478,0.097882,-0.001171,0.092031,0.056564,-0.031629,0.190137,-0.029283,0.088657,0.41913,0.03639,-0.091819,-0.113612,0.101963,0.145542,0.113855,-0.0124,0.112641,0.083337,-0.04026,0.111697,0.081244,0.150137,-0.056612,0.148137,-0.063279,-0.098807,-0.137884
-0.198214,-0.110688,0.033275,-0.007748,0.268439,0.223187,-0.07867,-0.043625,0.011182,0.399585,0.129921,0.22207,-0.084995,0.011783,-0.120948,-0.247329,0.021578,-0.269625,0.053374,-0.042192,0.220917,-0.078527,-0.316006,0.148531,-0.114428,0.079537,-0.120356,0.193672,0.031193,0.030835,0.154805,0.292042,0.14096,-0.028968,0.022816,-0.109292,0.117246,-0.216132,0.049603,0.109327,0.063793,-0.116212,0.09952,0.238151,0.205902,-0.000952,0.090872,0.067576,0.007293,0.032243
0.172574,0.035652,0.124132,-0.059782,0.223983,0.301584,0.388479,0.110546,-0.01404,0.104231,-0.013662,0.140892,-0.049248,0.064173,0.097783,-0.18812,-0.099271,-0.112883,-0.187364,-0.268791,0.174924,0.095782,-0.284155,0.067875,-0.113676,0.105473,0.160205,0.170865,0.05542,-0.05912,0.079462,0.476588,-0.179485,0.392218,-0.181344,0.087731,0.265652,0.204236,-0.062004,0.172719,0.043283,-0.308661,0.219145,0.146776,0.005768,-0.086923,0.428998,0.01418,0.076511,-0.167116
0.080437,0.040883,0.032096,-0.106029,0.282063,0.012926,0.246465,0.235631,-0.134414,0.031967,-0.009462,0.209055,0.039331,0.179786,0.135996,-0.162892,-0.197529,-0.021527,-0.082928,0.045738,0.077976,0.107548,-0.147167,0.068091,-0.117972,0.206603,0.179592,0.119786,-0.009037,0.007984,-0.033269,0.341142,-0.271781,0.420315,-0.276491,0.181762,0.172577,0.180295,0.104569,0.218184,0.077732,-0.109997,0.160859,0.295349,0.087964,-0.141757,0.306449,0.087127,0.065979,-0.248609
-0.083627,0.187317,0.115083,-0.030089,-0.09502,-0.041272,0.123988,0.175907,0.046931,0.034098,-0.012981,-0.156013,0.047759,0.255799,0.118058,-0.179191,-0.023037,0.093668,-0.071708,-0.233646,0.193154,-0.025463,0.17729,0.187446,-0.127945,0.319164,0.134408,-0.15859,-0.012847,-0.12553,0.003687,0.033336,0.084137,0.124276,-0.22859,-0.094385,-0.185437,-0.022825,0.031598,0.230409,0.106891,-0.140815,-0.138749,0.275531,0.117936,-0.146839,-0.174902,-0.289547,-0.068908,-0.054976
-0.3809,-0.01402,-0.056818,0.18677,0.150581,-0.060293,0.140182,-0.041367,0.099717,-0.046351,-0.187389,-0.144668,-0.098179,0.097944,-0.115769,0.00599,-0.039936,-0.091286,-0.098039,-0.228426,0.053584,-0.314179,0.071341,-0.058972,-0.264287,-0.003864,-0.044744,-0.012513,-0.2592,0.131942,-0.378957,-0.013989,-0.073276,-0.024394,-0.13014,-0.034563,-0.054092,0.004607,-0.054611,0.076938,-0.104651,-0.124753,-0.083397,-0.105463,0.059903,0.033026,0.000297,-0.148373,0.149055,-0.295825
